Date_of_Week,Year,Month,Channel,Brand,Country,Category,Partnership,NMV,Item,ASP,PV
25/2/18,2018,Feb,LLLDD,CF,VN,Groceries,RT,1386.567317,547.70584,2.531591259,192952
29/10/17,2017,Oct,LLLDD,CF,SG,Groceries,MP,71.02086003,16,4.438803752,105
4/2/18,2018,Feb,LLLDD,CF,VN,Groceries,RT,1435.694646,569.64218,2.520344694,218370
7/1/18,2018,Jan,LLLDD,CF,PH,Groceries,MP,468.9216988,207.05241,2.264748808,1142
21/1/18,2018,Jan,LLLDD,CF,ID,Groceries,RT,0,0,,0
25/3/18,2018,Mar,LLLDD,CF,PH,Groceries,MP,1747.793916,753.2381952,2.320373458,3459
18/3/18,2018,Mar,LLLDD,CF,VN,Groceries,RT,1654.149785,688.51102,2.402502992,184574
4/3/18,2018,Mar,LLLDD,CF,VN,Groceries,RT,1390.508732,549.3667,2.531112156,183431
31/12/17,2017,Dec,LLLDD,CF,MY,Groceries,MP,432.1462094,430.93255,1.002816356,3394
21/1/18,2018,Jan,LLLDD,CF,SG,Groceries,RT,618.5056791,566.60062,1.09160784,2907
11/2/18,2018,Feb,LLLDD,CF,ID,Groceries,MP,7.011622744,11.93119,0.587671703,579
25/2/18,2018,Feb,LLLDD,CF,SG,Groceries,RT,669.0945155,644.8235284,1.037639736,6072
4/2/18,2018,Feb,LLLDD,CF,ID,Groceries,RT,0,0,,0
7/1/18,2018,Jan,LLLDD,CF,ID,Groceries,RT,0,0,,0
7/1/18,2018,Jan,LLLDD,CF,SG,Groceries,MP,0,0,,0
21/1/18,2018,Jan,LLLDD,CF,ID,Groceries,MP,10.60633296,16.77353,0.632325632,628
21/1/18,2018,Jan,LLLDD,CF,MY,Groceries,MP,280.8703474,264.81668,1.060621814,2628
18/2/18,2018,Feb,LLLDD,CF,VN,Groceries,RT,1439.177153,575.02001,2.502829689,205892
18/2/18,2018,Feb,LLLDD,CF,ID,Groceries,MP,7.011622744,11.93119,0.587671703,599
18/3/18,2018,Mar,LLLDD,CF,SG,Groceries,MP,0,0,,0
25/2/18,2018,Feb,LLLDD,CF,PH,Groceries,MP,1027.019139,416.92944,2.463292443,1963
14/1/18,2018,Jan,LLLDD,CF,SG,Groceries,MP,0,0,,0
21/1/18,2018,Jan,LLLDD,CF,SG,Groceries,MP,0,0,,0
18/3/18,2018,Mar,LLLDD,CF,PH,Groceries,MP,1488.270669,631.62167,2.356269171,2958
18/3/18,2018,Mar,LLLDD,CF,MY,Groceries,MP,258.4446071,248.9709213,1.038051375,2590
11/2/18,2018,Feb,LLLDD,CF,SG,Groceries,RT,639.8021896,593.2671594,1.078438574,3101
11/2/18,2018,Feb,LLLDD,CF,ID,Groceries,RT,0,0,,0
7/1/18,2018,Jan,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
31/12/17,2017,Dec,LLLDD,CR,TH,Health & Beauty,MP,42764.01068,7328.05567,5.835655814,220534
25/3/18,2018,Mar,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
18/2/18,2018,Feb,LLLDD,CR,ID,Health & Beauty,MP,9897.141032,5408.53934,1.829910149,264727
18/3/18,2018,Mar,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
28/1/18,2018,Jan,LLLDD,CR,ID,Health & Beauty,MP,8805.705795,4883.4832,1.803160866,247007
11/2/18,2018,Feb,LLLDD,CR,ID,Health & Beauty,MP,9906.521028,5420.90886,1.827464967,258491
14/1/18,2018,Jan,LLLDD,CR,TH,Health & Beauty,MP,31613.68092,5373.2026,5.883582525,160339
11/2/18,2018,Feb,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
10/12/17,2017,Dec,SE,CR,TH,Others,RT,508.719241,112,4.54213608,4725
21/1/18,2018,Jan,LLLDD,CR,TH,Health & Beauty,MP,31627.29814,5372.92412,5.886421888,159973
25/3/18,2018,Mar,LLLDD,CR,TH,Health & Beauty,MP,37136.18689,6026.058336,6.162599964,192465
2/4/17,2017,Apr,LLLDD,CR,TH,Health & Beauty,MP,16880.23053,2586.67215,6.525848486,147993
29/10/17,2017,Oct,LLLDD,CR,ID,Health & Beauty,MP,4558.367177,2326.90244,1.958985086,164516
28/1/18,2018,Jan,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
25/2/18,2018,Feb,LLLDD,CR,ID,Health & Beauty,MP,10027.02937,5431.86598,1.845964059,268794
21/1/18,2018,Jan,LLLDD,CR,ID,Health & Beauty,MP,8295.513983,4548.51729,1.823784204,231510
4/3/18,2018,Mar,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
7/1/18,2018,Jan,LLLDD,CR,ID,Health & Beauty,MP,8130.731821,4532.12069,1.794023676,241762
4/3/18,2018,Mar,LLLDD,CR,TH,Health & Beauty,MP,35408.89865,5859.354719,6.04313962,158328
2/4/17,2017,Apr,LLLDD,CR,ID,Health & Beauty,MP,1748.435505,1356.41825,1.289009127,48680
14/1/18,2018,Jan,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
29/10/17,2017,Oct,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
7/1/18,2018,Jan,LLLDD,CR,TH,Health & Beauty,MP,41183.91586,7194.63681,5.724252238,199774
11/2/18,2018,Feb,LLLDD,CR,TH,Health & Beauty,MP,32611.68925,5425.92749,6.010343726,150757
25/2/18,2018,Feb,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
14/1/18,2018,Jan,LLLDD,CR,ID,Health & Beauty,MP,8115.831592,4475.88751,1.81323404,233756
29/10/17,2017,Oct,LLLDD,CR,TH,Health & Beauty,MP,14112.4765,2127.85932,6.632241319,96214
4/2/18,2018,Feb,LLLDD,CR,TH,Health & Beauty,MP,31540.37962,5259.28622,5.997083692,148617
21/1/18,2018,Jan,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
18/2/18,2018,Feb,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
2/4/17,2017,Apr,LLLDD,CR,ID,Health & Beauty,RT,583.7580383,527.50992,1.106629499,17073
25/3/18,2018,Mar,LLLDD,CR,ID,Health & Beauty,MP,7997.043944,4561.796071,1.753047225,227967
18/2/18,2018,Feb,LLLDD,CR,TH,Health & Beauty,MP,33863.57524,5606.27607,6.040297485,154870
18/3/18,2018,Mar,LLLDD,CR,TH,Health & Beauty,MP,37249.72809,6043.383982,6.163720226,163551
18/3/18,2018,Mar,LLLDD,CR,ID,Health & Beauty,MP,7856.055661,4498.56173,1.746348307,226095
4/3/18,2018,Mar,LLLDD,CR,ID,Health & Beauty,MP,8322.496939,4676.39148,1.779683539,237780
4/2/18,2018,Feb,LLLDD,CR,ID,Health & Beauty,MP,9492.845706,5184.22728,1.831101376,245438
4/2/18,2018,Feb,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
28/1/18,2018,Jan,LLLDD,CR,TH,Health & Beauty,MP,32163.47294,5439.42758,5.913025307,160905
25/2/18,2018,Feb,LLLDD,CR,TH,Health & Beauty,MP,36201.15484,5936.66751,6.097891584,161021
31/12/17,2017,Dec,LLLDD,CR,ID,Health & Beauty,RT,0,0,,0
31/12/17,2017,Dec,LLLDD,CR,ID,Health & Beauty,MP,8699.750819,4862.93033,1.788993514,265815
2/4/17,2017,Apr,LLLDD,CLR,SG,Health & Beauty,MP,664.5696584,81.80662,8.123666011,3872
4/2/18,2018,Feb,LLLDD,CLR,PH,Health & Beauty,RT,3493.887675,1559.68988,2.24011691,90730
4/2/18,2018,Feb,LLLDD,CLR,TH,Health & Beauty,MP,26386.112,3622.53681,7.283876849,101771
