S91.SI,Alibaba Pictures Group Limited
Z25.SI,Yanlord Land Group Limited
V01.SI,VICOM Ltd
U6C.SI,PACC Offshore Services Holdings Ltd.
5AU.SI,AP Oil International Limited
RS1.SI,China Environmental Resources Group Limited
J36.SI,Jardine Matheson Holdings Limited
5OI.SI,$ Japan Foods
M44U.SI,Mapletree Logistics Trust
Q0X.SI,Ley Choon Group Holdings Limited
K22.SI,Raffles United Holdings Ltd.
U04.SI,United Engineers Limited
O9P.SI,IS ASIA HYG US$
N01.SI,Nera Telecommunications Ltd
